key,value
Anti-Black or African American,134
Anti-Jewish,57
Anti-Gay (Male),51
Anti-Asian,27
Multiple Bias,25
Anti-Hispanic or Latino,21
Anti-White,18
Anti-Other Race/Ethnicity/Ancestry,16
Anti-Lesbian Gay Bisexual or Transgender (Mixed Group),14
Anti-Transgender,13
Anti-Lesbian (Female),11
Anti-Islamic (Muslim),10
Anti-Catholic,9
Anti-Gender Non-Conforming,8
Anti-Arab,5
Anti-Other Religion,4
Anti-Bisexual,3
Anti-Female,2
Anti-Atheism/Agnosticism,1
Anti-Other Christian,1
Anti-American Indian or Alaska Native,1
Anti-Hindu,1
Anti-Eastern Orthodox (Russian Greek Other),1
"Anti-Male",0
"Anti-Buddhist",0
"Anti-Sikh",0
"Anti-Multiple Races, Group",0
"Anti-Native Hawaiian or Other Pacific Islander",0
"Anti-Mental Disability",0
"Anti-Heterosexual",0
"Anti-Multiple Religions, Group",0
"Anti-Jehovahs Witness",0
"Anti-Protestant",0
"Anti-Physical Disability",0
"Anti-Church of Jesus Christ",0